Year,Date,Site,Gear Type,GSI_Avg,Temp_Net,Standard_Error,Stadard_Dev,med_GSI,Type
2019,2019-07-10,HI,Cage,8.60,12.41,1.11,3.51,7.284,AQ
2019,2019-07-10,HI,Lantern_Net,12.00,12.23,1.35,4.27,11.565,AQ
2019,2019-07-16,HI,Cage,11.53,12.61,1.31,4.15,9.3185,AQ
2019,2019-07-16,HI,Lantern_Net,13.19,12.55,1.40,4.44,12.1175,AQ
2019,2019-07-24,HI,Cage,12.51,13.73,1.57,4.96,13.1135,AQ
2019,2019-07-24,HI,Lantern_Net,15.03,13.62,1.61,5.10,14.931,AQ
2019,2019-08-02,HI,Cage,16.19,13.38,1.44,4.55,17.8825,AQ
2019,2019-08-02,HI,Lantern_Net,12.60,13.29,1.12,3.53,11.6585,AQ
2019,2019-08-07,HI,Cage,20.23,13.58,1.23,3.90,19.454,AQ
2019,2019-08-07,HI,Lantern_Net,16.27,13.43,1.71,5.41,16.177,AQ
2019,2019-08-15,HI,Cage,13.74,14.27,1.44,4.55,12.695,AQ
2019,2019-08-15,HI,Lantern_Net,17.35,14.23,1.64,5.20,18.69,AQ
2019,2019-08-22,HI,Cage,17.01,14.54,1.53,4.85,16.2795,AQ
2019,2019-08-22,HI,Lantern_Net,14.92,14.46,1.85,5.85,13.5735,AQ
2019,2019-08-27,HI,Cage,14.76,14.76,1.80,5.70,14.35,AQ
2019,2019-08-29,HI,Lantern_Net,19.32,13.95,1.95,6.18,20.8655,AQ
2019,2019-09-05,HI,Cage,14.21,13.92,1.30,4.13,13.72,AQ
2019,2019-09-05,HI,Lantern_Net,22.42,13.74,2.25,7.12,22.8595,AQ
2019,2019-09-11,HI,Cage,14.86,21.79,1.78,5.64,14.7495,AQ
2019,2019-09-11,HI,Lantern_Net,17.01,13.67,2.36,7.46,20.2165,AQ
2019,2019-10-11,HI,Cage,10.86,12.37,3.90,12.33,7.8725,AQ
2019,2019-10-11,HI,Lantern_Net,10.11,NA,1.87,5.90,7.893,AQ
2019,2019-11-11,HI,Lantern_Net,4.75,NA,0.32,1.00,6.1695,AQ
2019,2019-11-11,HI,Cage,6.07,NA,0.46,1.45,4.4725,AQ
2019,2019-12-17,HI,Cage,4.30,6.03,0.23,0.71,4.1775,AQ
2019,2019-12-17,HI,Lantern_Net,6.54,5.74,1.75,5.54,5.4435,AQ
2020,2020-01-07,HI,Cage,5.43,4.86,0.29,0.91,5.829,AQ
2020,2020-01-07,HI,Lantern_Net,5.58,4.75,0.73,2.31,4.758,AQ
2020,2020-03-09,HI,Cage,5.44,3.53,0.42,1.10,5.613,AQ
2020,2020-03-09,HI,Lantern_Net,7.24,3.51,0.62,1.95,6.777,AQ
2020,2020-04-16,HI,Cage,5.64,5.34,0.45,1.42,5.656,AQ
2020,2020-04-16,HI,Lantern_Net,8.61,5.42,0.89,2.82,8.7645,AQ
2020,2020-05-14,HI,Cage,7.30,7.03,1.00,3.17,7.307,AQ
2020,2020-05-14,HI,Lantern_Net,11.31,6.84,0.82,2.61,11.473,AQ
2020,2020-06-08,HI,Cage,8.26,NA,0.96,3.04,7.5825,AQ
2020,2020-06-25,HI,Wild_Dive,12.55,5.56,0.66,2.73,12.277,wild
2020,2020-06-30,NH,Lantern_Net,12.32,11.81,1.68,8.25,8.516,AQ
2020,2020-06-30,ST,Lantern_Net,16.64,NA,1.10,5.62,16.75,AQ
2020,2020-07-02,HI,Cage,7.79,NA,0.50,2.22,8.585,AQ
2020,2020-07-02,HI,Lantern_Net,9.10,12.58,0.74,3.69,7.982,AQ
2020,2020-07-06,HI,Wild_Dive,10.32,10.00,1.93,6.42,8.858,wild
2020,2020-07-07,HI,Cage,7.19,NA,0.74,3.31,6.7095,AQ
2020,2020-07-07,HI,Lantern_Net,10.68,12.79,0.64,3.18,10.79,AQ
2020,2020-07-07,NH,Lantern_Net,12.33,12.68,1.51,7.53,10.658,AQ
2020,2020-07-07,ST,Lantern_Net,16.67,12.91,0.86,6.09,16.854,AQ
2020,2020-07-07,HI,Wild_Dive,15.27,10.55,1.39,6.05,15.235,wild
2020,2020-07-14,HI,Cage,9.13,13.3,0.75,3.37,9.66,AQ
2020,2020-07-14,HI,Lantern_Net,13.07,13.8,0.75,3.76,13.126,AQ
2020,2020-07-15,NH,Lantern_Net,12.35,14.2,1.45,6.94,10.703,AQ
2020,2020-07-15,ST,Lantern_Net,18.51,13.4,1.22,5.96,17.7065,AQ
2020,2020-07-16,HI,Wild_Dive,19.55,NA,1.24,6.78,17.9645,wild
2020,2020-07-21,HI,Lantern_Net,13.71,13.9,0.79,3.81,12.448,AQ
2020,2020-07-22,NH,Lantern_Net,15.45,14.4,1.76,8.79,11.679,AQ
2020,2020-07-22,ST,Lantern_Net,20.00,13.5,0.84,3.67,19.635,AQ
2020,2020-07-22,NH,Wild_Dive,18.78,NA,0.89,4.85,18.936,wild
2020,2020-07-23,HI,Cage,12.45,NA,0.98,4.38,12.989,AQ
2020,2020-07-28,NH,Lantern_Net,14.26,14.2,1.22,6.08,13.191,AQ
2020,2020-07-28,ST,Lantern_Net,20.75,13.9,1.26,5.50,21.42,AQ
2020,2020-07-28,HI,Wild_Dive,13.88,NA,0.92,4.58,13.775,wild
2020,2020-07-30,HI,Cage,11.82,13.8,0.89,4.00,11.576,AQ
2020,2020-07-30,HI,Lantern_Net,13.66,13.9,1.05,5.26,11.92,AQ
2020,2020-08-04,NH,Lantern_Net,18.70,15.4,1.63,7.65,16.609,AQ
2020,2020-08-04,ST,Lantern_Net,19.74,13.9,1.34,5.98,19.059,AQ
2020,2020-08-04,NH,Wild_Dive,19.65,NA,1.46,6.84,20.4105,wild
2020,2020-08-06,HI,Cage,13.06,13.9,0.83,3.72,13.294,AQ
2020,2020-08-06,HI,Lantern_Net,14.63,14.1,0.84,4.13,15.4,AQ
2020,2020-08-11,HI,Wild_Dive,20.82,NA,0.71,3.78,20.9795,wild
2020,2020-08-12,NH,Lantern_Net,14.54,14,1.49,6.99,12.272,AQ
2020,2020-08-12,ST,Lantern_Net,18.69,15.1,0.96,4.50,17.019,AQ
2020,2020-08-13,HI,Cage,12.93,15.4,1.06,4.74,13.638,AQ
2020,2020-08-13,HI,Lantern_Net,16.07,15.4,1.13,5.44,14.136,AQ
2020,2020-08-18,NH,Lantern_Net,15.71,15,1.40,6.99,14.308,AQ
2020,2020-08-18,ST,Lantern_Net,22.52,14.9,1.11,4.56,22.165,AQ
2020,2020-08-19,HI,Cage,12.61,15.2,1.68,5.32,13.073,AQ
2020,2020-08-19,HI,Lantern_Net,20.15,15.3,1.63,7.29,18.235,AQ
2020,2020-08-19,HI,Wild_Dive,24.21,NA,1.04,5.70,25.0985,wild
2020,2020-08-20,HI,Cage,17.47,NA,1.30,4.10,18.5285,AQ
2020,2020-08-25,HI,Cage,14.59,14.6,1.62,7.26,14.6305,AQ
2020,2020-08-25,HI,Lantern_Net,16.74,14.6,0.92,4.60,16.834,AQ
2020,2020-08-25,HI,Wild_Dive,25.58,NA,1.70,5.37,27.136,wild
2020,2020-08-26,NH,Lantern_Net,18.01,15.6,1.95,9.75,13.937,AQ
2020,2020-08-26,NH,Wild_Dive,23.72,NA,1.69,7.54,25.711,wild
2020,2020-08-28,ST,Lantern_Net,18.56,14,1.16,5.32,18.547,AQ
2020,2020-09-01,HI,Cage,12.58,13.6,1.01,4.50,13.424,AQ
2020,2020-09-01,HI,Lantern_Net,13.32,13.6,1.46,7.15,9.95,AQ
2020,2020-09-02,NH,Lantern_Net,17.09,14.6,2.23,11.16,13.405,AQ
2020,2020-09-02,ST,Lantern_Net,13.78,14.2,1.84,6.89,13.475,AQ
2020,2020-09-02,NH,Wild_Dive,19.31,NA,1.47,5.69,21.474,wild
2020,2020-09-02,ST,Wild_Dive,21.22,NA,2.87,8.11,24.01,wild
2020,2020-09-03,HI,Wild_Dive,26.02,NA,2.75,10.31,24.6455,wild
2020,2020-09-08,HI,Wild_Dive,28.55,NA,1.35,5.89,28.461,wild
2020,2020-09-09,ST,Lantern_Net,18.42,NA,1.35,6.50,20.462,AQ
2020,2020-09-09,ST,Wild_Dive,21.77,NA,2.28,7.55,23.278,wild
2020,2020-09-10,HI,Cage,16.65,14.5,1.60,5.07,14.1235,AQ
2020,2020-09-10,HI,Lantern_Net,16.15,14.8,3.12,17.65,12.739,AQ
2020,2020-10-14,NH,Lantern_Net,5.75,NA,0.44,2.15,5.2805,AQ
2020,2020-10-14,ST,Lantern_Net,6.03,12.9,0.52,2.50,5.455,AQ
2020,2020-10-15,HI,Cage,5.62,12.6,0.41,1.30,5.7735,AQ
2020,2020-10-15,HI,Lantern_Net,6.04,12.7,0.28,1.40,5.864,AQ
2020,2020-11-09,HI,Cage,5.99,10.7,1.21,3.82,4.762,AQ
2020,2020-11-09,HI,Lantern_Net,5.30,10.7,0.32,1.53,5.178,AQ
2020,2020-11-09,ST,Lantern_Net,5.01,10.7,0.33,1.57,4.488,AQ
2020,2020-11-15,NH,Lantern_Net,5.09,10.5,0.34,1.63,5.052,AQ
2020,2020-11-15,NH,Wild_Dive,7.61,NA,0.48,1.97,8.336,wild
2020,2020-12-07,HI,Cage,5.47,8,0.30,0.95,5.402,AQ
2020,2020-12-07,HI,Lantern_Net,5.86,7.9,0.43,2.08,5.047,AQ
2021,2021-01-09,NH,Lantern_Net,5.36,5.1,0.31,1.51,5.1525,AQ
2021,2021-01-09,ST,Lantern_Net,6.04,5.2,0.29,1.33,5.83,AQ
2021,2021-01-13,HI,Cage,4.50,5.6,0.37,1.29,4.3735,AQ
2021,2021-01-13,HI,Lantern_Net,5.85,5.6,0.35,1.68,5.602,AQ
2021,2021-02-23,HI,Cage,5.22,NA,0.25,0.78,5.4605,AQ
2021,2021-02-23,HI,Lantern_Net,5.77,NA,0.36,1.71,5.275,AQ
2021,2021-02-24,ST,Lantern_Net,8.01,NA,0.51,2.54,8.042,AQ
2021,2021-03-10,HI,Cage,6.41,2.9,0.54,1.71,6.5345,AQ
2021,2021-03-10,HI,Lantern_Net,7.21,3,0.48,2.39,6.755,AQ
2021,2021-03-24,NH,Lantern_Net,7.18,3.3,0.42,2.12,7.183,AQ
2021,2021-03-24,ST,Lantern_Net,8.27,3.4,0.45,2.22,7.636,AQ
2021,2021-05-04,ST,Lantern_Net,13.14,NA,0.89,4.25,12.596,AQ
2021,2021-05-19,NH,Lantern_Net,11.03,NA,0.79,3.89,11.1745,AQ
2021,2021-05-19,NH,Wild_Dive,16.98,NA,1.64,6.15,18.503,wild
2021,2021-06-07,ST,Lantern_Net,15.62,NA,1.18,5.54,14.3445,AQ
2021,2021-07-07,HI,Wild_Dive,15.67,NA,1.62,6.27,15.341,wild
2021,2021-07-13,ST,Lantern_Net,13.69,13.3,1.26,6.17,12.7805,AQ
2021,2021-07-13,NH,Lantern_Net,13.40,13.6,0.65,4.47,12.1845,AQ
2021,2021-07-13,NH,Wild_Dive,17.22,NA,0.99,4.52,16.806,wild
2021,2021-07-14,HI,Lantern_Net,11.54,NA,0.69,3.40,12.518,AQ
2021,2021-07-14,HI,Cage,7.39,NA,0.57,1.82,6.8315,AQ
2021,2021-07-15,HI,Wild_Dive,14.77,NA,1.37,5.30,15.165,wild
2021,2021-07-27,NH,Lantern_Net,15.11,14.6,0.77,5.48,14.2685,AQ
2021,2021-07-27,NH,Wild_Dive,14.67,NA,0.89,3.47,14.37,wild
2021,2021-07-28,ST,Lantern_Net,16.73,14,0.90,4.49,16.189,AQ
2021,2021-07-28,HI,Lantern_Net,13.39,14,1.02,5.02,11.8655,AQ
2021,2021-07-28,HI,Cage,10.68,14,1.12,3.53,11.09,AQ
2021,2021-08-03,HI,Lantern_Net,13.86,14.7,1.09,5.24,14.021,AQ
2021,2021-08-03,HI,Cage,7.54,14.5,1.33,4.21,4.758,AQ
2021,2021-08-04,NH,Lantern_Net,12.84,15.1,0.78,3.42,12.141,AQ
2021,2021-08-04,NH,Wild_Dive,17.68,NA,0.98,3.68,17.652,wild
2021,2021-08-16,HI,Lantern_Net,14.62,5.1,1.23,6.13,15.596,AQ
2021,2021-08-17,NH,Lantern_Net,17.62,7.1,1.61,7.19,18.082,AQ
2021,2021-08-17,NH,Wild_Dive,19.06,NA,1.46,5.47,19.097,wild
2021,2021-08-17,HI,Wild_Dive,21.74,,1.77,6.84,21.286,wild
2021,2021-08-18,ST,Lantern_Net,20.48,NA,1.37,6.57,19.684,AQ
2021,2021-08-24,HI,Lantern_Net,18.52,15.3,1.29,6.60,20.218,AQ
2021,2021-08-24,HI,Wild_Dive,21.18,NA,1.28,4.94,22.616,wild
2021,2021-08-25,ST,Lantern_Net,21.09,15.1,1.46,6.83,20.3,AQ
2021,2021-08-25,NH,Lantern_Net,16.63,15.3,1.43,6.07,17.655,AQ
2021,2021-08-25,NH,Wild_Dive,20.47,NA,1.92,7.18,19.843,wild
2021,2021-08-31,HI,Lantern_Net,21.36,16.0,1.26,5.64,22.2815,AQ
2021,2021-08-31,HI,Cage,12.44,15.9,1.68,5.31,11.1355,AQ
2021,2021-08-31,HI,Wild_Dive,23.42,NA,3.74,8.36,20.767,wild
2021,2021-09-01,ST,Lantern_Net,20.42,15.4,1.31,6.43,21.744,AQ
2021,2021-09-03,NH,Lantern_Net,22.00,15.3,1.12,5.00,21.037,AQ
2021,2021-09-03,NH,Wild_Dive,19.27,NA,1.63,6.32,19.971,wild
2021,2021-09-08,ST,Lantern_Net,19.46,15.1,1.64,7.86,20.77,AQ
2021,2021-09-08,HI,Lantern_Net,18.67,15.0,1.55,7.60,19.6755,AQ
2021,2021-09-08,HI,Cage,12.69,14.9,1.98,6.26,11.2425,AQ
2021,2021-09-10,NH,Lantern_Net,20.09,15.6,1.61,6.81,20.845,AQ
2021,2021-09-10,NH,Wild_Dive,15.34,NA,1.98,7.15,12.176,wild
2021,2021-09-10,HI,Wild_Dive,25.03,NA,2.61,5.84,28.167,wild
2021,2021-09-13,HI,Lantern_Net,18.18,15.4,1.51,7.38,18.3405,AQ
2021,2021-09-13,HI,Cage,11.30,15.3,1.72,5.44,11.9825,AQ
2021,2021-09-14,HI,Wild_Dive,14.89,NA,2.19,7.26,17.809,wild
2021,2021-09-16,NH,Lantern_Net,15.59,15.7,1.10,4.81,15.389,AQ
2021,2021-09-16,NH,Wild_Dive,17.45,NA,1.47,5.69,16.935,wild
2021,2021-09-21,HI,Wild_Dive,8.80,NA,0.54,2.08,8.567,wild
2021,2021-09-22,NH,Wild_Dive,19.06,NA,2.15,7.76,18.402,wild
2021,2021-09-22,NH,Lantern_Net,10.40,15.4,0.88,3.93,10.212,AQ
2021,2021-09-22,ST,Lantern_Net,13.09,15.1,1.37,7.26,11.8945,AQ
2021,2021-09-20,HI,Lantern_Net,20.16,14.9,1.33,6.08,22.601,AQ
2021,2021-09-20,HI,Cage,11.47,14.8,1.88,5.96,10.2915,AQ
2021,2021-09-28,NH,Lantern_Net,11.62,15.5,0.90,4.02,11.3005,AQ
2021,2021-09-28,NH,Wild_Dive,17.77,NA,2.22,8.61,15.554,wild
2021,2021-09-28,ST,Lantern_Net,14.21,15.5,1.81,8.67,13.047,AQ
2021,2021-09-29,HI,Lantern_Net,14.62,15.4,1.34,6.82,12.7565,AQ
2021,2021-09-29,HI,Cage,7.81,15.4,1.42,4.48,5.97,AQ
2021,2021-10-05,HI,Cage,7.45,14.5,0.75,2.39,6.7775,AQ
2021,2021-10-05,HI,Lantern_Net,10.08,14.5,1.15,5.00,9.778,AQ
2021,2021-10-13,NH,Wild_Dive,12.17,NA,0.90,3.50,11.331,wild
2021,2021-10-13,NH,Lantern_Net,7.04,14.7,0.40,2.55,6.262,AQ
2021,2021-10-13,ST,Lantern_Net,9.75,14.4,0.81,4.30,7.9755,AQ
2021,2021-10-14,HI,Lantern_Net,5.67,NA,0.64,2.88,4.835,AQ
2021,2021-10-25,HI,Lantern_Net,5.48,NA,0.27,1.22,5.9015,AQ
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
